areaCode,areaName,areaType,date,capacityPillarOneTwo,cumAdmissions,cumCasesBySpecimenDate,cumDailyNsoDeathsByDeathDate,cumDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,21/05/2021,645810,466377,4460716,153778,127841
K02000001,United Kingdom,overview,20/05/2021,645811,466253,4458422,153760,127834
K02000001,United Kingdom,overview,19/05/2021,645811,466121,4455997,153753,127829
K02000001,United Kingdom,overview,18/05/2021,645811,465995,4453284,153749,127824
K02000001,United Kingdom,overview,17/05/2021,645811,465867,4450576,153739,127818
K02000001,United Kingdom,overview,16/05/2021,618411,465765,4447812,153726,127811
K02000001,United Kingdom,overview,15/05/2021,625811,465685,4445959,153712,127803
K02000001,United Kingdom,overview,14/05/2021,625811,465594,4444378,153698,127796
K02000001,United Kingdom,overview,13/05/2021,645838,465501,4442528,153684,127790
K02000001,United Kingdom,overview,12/05/2021,650838,465395,4440432,153669,127785
K02000001,United Kingdom,overview,11/05/2021,645838,465276,4438201,153654,127774
K02000001,United Kingdom,overview,10/05/2021,635580,465166,4436001,153634,127760
K02000001,United Kingdom,overview,09/05/2021,648180,465062,4433345,153626,127752
K02000001,United Kingdom,overview,08/05/2021,655580,464959,4431173,153615,127743
K02000001,United Kingdom,overview,07/05/2021,650580,464850,4429660,153595,127735
K02000001,United Kingdom,overview,06/05/2021,650553,464746,4427777,153578,127725
K02000001,United Kingdom,overview,05/05/2021,650553,464626,4425610,153561,127715
K02000001,United Kingdom,overview,04/05/2021,655553,464508,4423211,153539,127703
K02000001,United Kingdom,overview,03/05/2021,655553,464406,4420807,153524,127693
K02000001,United Kingdom,overview,02/05/2021,648153,464283,4418834,153507,127685
K02000001,United Kingdom,overview,01/05/2021,647353,464163,4417409,153489,127673
K02000001,United Kingdom,overview,30/04/2021,647353,464062,4416052,153474,127665
K02000001,United Kingdom,overview,29/04/2021,647351,463952,4414348,153458,127657
K02000001,United Kingdom,overview,28/04/2021,652351,463852,4412264,153441,127644
K02000001,United Kingdom,overview,27/04/2021,652351,463740,4409903,153420,127630
K02000001,United Kingdom,overview,26/04/2021,652351,463572,4407845,153394,127618
K02000001,United Kingdom,overview,25/04/2021,628141,463438,4405401,153374,127605
K02000001,United Kingdom,overview,24/04/2021,653251,463300,4403409,153349,127590
K02000001,United Kingdom,overview,23/04/2021,653251,463171,4401945,153325,127582
K02000001,United Kingdom,overview,22/04/2021,653250,463016,4400054,153296,127561
K02000001,United Kingdom,overview,21/04/2021,653250,462896,4397800,153263,127545
K02000001,United Kingdom,overview,20/04/2021,653250,462724,4395257,153228,127521
K02000001,United Kingdom,overview,19/04/2021,653038,462589,4392891,153193,127502
K02000001,United Kingdom,overview,18/04/2021,650138,462412,4390289,153170,127484
K02000001,United Kingdom,overview,17/04/2021,652738,462271,4387852,153140,127467
K02000001,United Kingdom,overview,16/04/2021,652738,462113,4386214,153100,127445
K02000001,United Kingdom,overview,15/04/2021,655338,461955,4383861,153070,127428
K02000001,United Kingdom,overview,14/04/2021,654438,461794,4381672,153028,127407
K02000001,United Kingdom,overview,13/04/2021,655438,461598,4379268,152994,127390
K02000001,United Kingdom,overview,12/04/2021,650438,461417,4376934,152947,127370
K02000001,United Kingdom,overview,11/04/2021,648538,461209,4374220,152910,127343
K02000001,United Kingdom,overview,10/04/2021,649538,461005,4371964,152871,127321
K02000001,United Kingdom,overview,09/04/2021,649138,460818,4369705,152828,127297
K02000001,United Kingdom,overview,08/04/2021,648345,460613,4366920,152790,127274
K02000001,United Kingdom,overview,07/04/2021,646945,460405,4363937,152730,127239
K02000001,United Kingdom,overview,06/04/2021,646045,460171,4360855,152686,127210
K02000001,United Kingdom,overview,05/04/2021,645945,459947,4357737,152641,127182
K02000001,United Kingdom,overview,04/04/2021,633145,459709,4355121,152597,127165
K02000001,United Kingdom,overview,03/04/2021,631845,459512,4352828,152546,127139
K02000001,United Kingdom,overview,02/04/2021,631545,459289,4350425,152506,127108
K02000001,United Kingdom,overview,01/04/2021,653528,459051,4347800,152456,127080
K02000001,United Kingdom,overview,31/03/2021,679928,458818,4344332,152393,127049
K02000001,United Kingdom,overview,30/03/2021,764628,458549,4340560,152319,127011
K02000001,United Kingdom,overview,29/03/2021,786098,458293,4336965,152265,126968
K02000001,United Kingdom,overview,28/03/2021,770298,458043,4332997,152197,126933
K02000001,United Kingdom,overview,27/03/2021,771298,457771,4328340,152148,126899
K02000001,United Kingdom,overview,26/03/2021,774498,457498,4324798,152085,126863
K02000001,United Kingdom,overview,25/03/2021,774573,457200,4320407,152012,126815
K02000001,United Kingdom,overview,24/03/2021,774073,456860,4315006,151935,126770
K02000001,United Kingdom,overview,23/03/2021,768873,456512,4308992,151865,126730
K02000001,United Kingdom,overview,22/03/2021,768473,456145,4303732,151772,126680
K02000001,United Kingdom,overview,21/03/2021,752473,455784,4297528,151667,126615
K02000001,United Kingdom,overview,20/03/2021,752473,455426,4292295,151544,126535
K02000001,United Kingdom,overview,19/03/2021,752473,455062,4288193,151445,126471
K02000001,United Kingdom,overview,18/03/2021,753013,454682,4283197,151343,126401
K02000001,United Kingdom,overview,17/03/2021,753013,454231,4277723,151244,126343
K02000001,United Kingdom,overview,16/03/2021,753113,453785,4271952,151118,126264
K02000001,United Kingdom,overview,15/03/2021,758854,453343,4266278,151005,126184
K02000001,United Kingdom,overview,14/03/2021,736154,452840,4259774,150870,126093
K02000001,United Kingdom,overview,13/03/2021,736854,452412,4255473,150738,125999
K02000001,United Kingdom,overview,12/03/2021,734654,451951,4251227,150604,125892
K02000001,United Kingdom,overview,11/03/2021,734609,451469,4245638,150470,125800
K02000001,United Kingdom,overview,10/03/2021,778609,450919,4239868,150299,125679
K02000001,United Kingdom,overview,09/03/2021,775609,450352,4233831,150139,125563
K02000001,United Kingdom,overview,08/03/2021,775609,449773,4227602,149954,125430
K02000001,United Kingdom,overview,07/03/2021,767836,449197,4220959,149758,125287
K02000001,United Kingdom,overview,06/03/2021,769024,448662,4216675,149564,125156
K02000001,United Kingdom,overview,05/03/2021,754293,448024,4212170,149354,125003
K02000001,United Kingdom,overview,04/03/2021,754126,447425,4206867,149133,124834
K02000001,United Kingdom,overview,03/03/2021,753326,446721,4201141,148900,124681
K02000001,United Kingdom,overview,02/03/2021,750326,446008,4195167,148686,124534
K02000001,United Kingdom,overview,01/03/2021,750650,445174,4188513,148443,124352
K02000001,United Kingdom,overview,28/02/2021,749036,444351,4181638,148152,124127
K02000001,United Kingdom,overview,27/02/2021,750052,443582,4176924,147874,123915
K02000001,United Kingdom,overview,26/02/2021,777124,442840,4172108,147568,123686
K02000001,United Kingdom,overview,25/02/2021,779624,441976,4165545,147268,123460
K02000001,United Kingdom,overview,24/02/2021,778724,441007,4157824,146920,123201
K02000001,United Kingdom,overview,23/02/2021,779624,439985,4149280,146557,122927
K02000001,United Kingdom,overview,22/02/2021,777122,438865,4139902,146180,122640
K02000001,United Kingdom,overview,21/02/2021,736036,437746,4128662,145806,122359
K02000001,United Kingdom,overview,20/02/2021,775452,436589,4120794,145396,122034
K02000001,United Kingdom,overview,19/02/2021,778541,435497,4112743,144947,121685
K02000001,United Kingdom,overview,18/02/2021,777024,434224,4102361,144483,121304
K02000001,United Kingdom,overview,17/02/2021,778499,432885,4090949,143963,120888
K02000001,United Kingdom,overview,16/02/2021,778499,431473,4079389,143460,120458
K02000001,United Kingdom,overview,15/02/2021,767997,429979,4066905,142896,120013
K02000001,United Kingdom,overview,14/02/2021,759083,428475,4052639,142285,119495
K02000001,United Kingdom,overview,13/02/2021,766827,426940,4043886,141686,119002
K02000001,United Kingdom,overview,12/02/2021,771294,425514,4035131,141104,118512
K02000001,United Kingdom,overview,11/02/2021,770917,424005,4022971,140472,117985
K02000001,United Kingdom,overview,10/02/2021,769711,422325,4010233,139804,117414
K02000001,United Kingdom,overview,09/02/2021,768771,420600,3996753,139095,116807
K02000001,United Kingdom,overview,08/02/2021,766876,418845,3982955,138373,116200
K02000001,United Kingdom,overview,07/02/2021,739738,416924,3967251,137596,115524
K02000001,United Kingdom,overview,06/02/2021,740345,415073,3955878,136845,114889
K02000001,United Kingdom,overview,05/02/2021,740302,413179,3943921,136062,114190
K02000001,United Kingdom,overview,04/02/2021,740611,411173,3928078,135192,113438
K02000001,United Kingdom,overview,03/02/2021,770305,409031,3910124,134369,112723
K02000001,United Kingdom,overview,02/02/2021,768851,406671,3890730,133402,111866
K02000001,United Kingdom,overview,01/02/2021,778967,404187,3870977,132443,111017
K02000001,United Kingdom,overview,31/01/2021,796690,401585,3848647,131440,110126
K02000001,United Kingdom,overview,30/01/2021,800097,399178,3833280,130449,109234
